year,name,age,sex,genotype,value
2017,cancers,0,female,total,0
2017,cancers,15,female,total,3
2017,cancers,20,female,total,65
2017,cancers,25,female,total,310
2017,cancers,30,female,total,368
2017,cancers,35,female,total,308
2017,cancers,40,female,total,258
2017,cancers,45,female,total,273
2017,cancers,50,female,total,189
2017,cancers,55,female,total,179
2017,cancers,60,female,total,168
2017,cancers,65,female,total,117
2017,cancers,70,female,total,111
2017,cancers,75,female,total,91
2017,cancers,80,female,total,76
2017,cancers,85,female,total,54
2017,cancers,90,female,total,21
2016,cancers,0,female,total,0
2016,cancers,15,female,total,1
2016,cancers,20,female,total,58
2016,cancers,25,female,total,341
2016,cancers,30,female,total,348
2016,cancers,35,female,total,295
2016,cancers,40,female,total,284
2016,cancers,45,female,total,264
2016,cancers,50,female,total,188
2016,cancers,55,female,total,174
2016,cancers,60,female,total,160
2016,cancers,65,female,total,128
2016,cancers,70,female,total,107
2016,cancers,75,female,total,88
2016,cancers,80,female,total,87
2016,cancers,85,female,total,43
2016,cancers,90,female,total,28
2015,cancers,0,female,total,0
2015,cancers,15,female,total,4
2015,cancers,20,female,total,73
2015,cancers,25,female,total,412
2015,cancers,30,female,total,323
2015,cancers,35,female,total,304
2015,cancers,40,female,total,274
2015,cancers,45,female,total,221
2015,cancers,50,female,total,177
2015,cancers,55,female,total,141
2015,cancers,60,female,total,144
2015,cancers,65,female,total,106
2015,cancers,70,female,total,97
2015,cancers,75,female,total,104
2015,cancers,80,female,total,74
2015,cancers,85,female,total,40
2015,cancers,90,female,total,23
2014,cancers,0,female,total,1
2014,cancers,15,female,total,1
2014,cancers,20,female,total,82
2014,cancers,25,female,total,401
2014,cancers,30,female,total,328
2014,cancers,35,female,total,315
2014,cancers,40,female,total,273
2014,cancers,45,female,total,248
2014,cancers,50,female,total,172
2014,cancers,55,female,total,158
2014,cancers,60,female,total,110
2014,cancers,65,female,total,120
2014,cancers,70,female,total,85
2014,cancers,75,female,total,104
2014,cancers,80,female,total,99
2014,cancers,85,female,total,67
2014,cancers,90,female,total,26
2013,cancers,0,female,total,0
2013,cancers,15,female,total,3
2013,cancers,20,female,total,66
2013,cancers,25,female,total,395
2013,cancers,30,female,total,348
2013,cancers,35,female,total,282
2013,cancers,40,female,total,295
2013,cancers,45,female,total,238
2013,cancers,50,female,total,191
2013,cancers,55,female,total,157
2013,cancers,60,female,total,133
2013,cancers,65,female,total,133
2013,cancers,70,female,total,106
2013,cancers,75,female,total,113
2013,cancers,80,female,total,85
2013,cancers,85,female,total,57
2013,cancers,90,female,total,37
2012,cancers,0,female,total,0
2012,cancers,15,female,total,2
2012,cancers,20,female,total,48
2012,cancers,25,female,total,371
2012,cancers,30,female,total,306
2012,cancers,35,female,total,287
2012,cancers,40,female,total,272
2012,cancers,45,female,total,231
2012,cancers,50,female,total,164
2012,cancers,55,female,total,179
2012,cancers,60,female,total,120
2012,cancers,65,female,total,126
2012,cancers,70,female,total,104
2012,cancers,75,female,total,106
2012,cancers,80,female,total,73
2012,cancers,85,female,total,60
2012,cancers,90,female,total,33
